iter	Passed	Remaining
1102	11978	1053
1103	11990	1042
1104	12001	1031
1105	12011	1020
1106	12023	1010
1107	12035	999
1108	12047	988
1109	12057	977
1110	12069	966
1111	12079	955
1112	12091	945
1113	12102	934
1114	12114	923
1115	12126	912
1116	12135	901
1117	12145	890
1118	12155	879
1119	12165	868
1120	12176	858
1121	12187	847
1122	12196	836
1123	12209	825
1124	12221	814
1125	12233	803
1126	12244	793
1127	12255	782
1128	12267	771
1129	12276	760
1130	12286	749
1131	12297	738
1132	12309	727
1133	12321	717
1134	12333	706
1135	12344	695
1136	12355	684
1137	12367	673
1138	12379	662
1139	12389	652
1140	12402	641
1141	12413	630
1142	12425	619
1143	12436	608
1144	12448	597
1145	12458	587
1146	12470	576
1147	12480	565
1148	12490	554
1149	12501	543
1150	12512	532
1151	12523	521
1152	12535	510
1153	12547	500
1154	12558	489
1155	12570	478
1156	12582	467
1157	12592	456
1158	12603	445
1159	12615	435
1160	12625	424
1161	12638	413
1162	12649	402
1163	12661	391
1164	12673	380
1165	12684	369
1166	12694	358
1167	12705	348
1168	12715	337
1169	12728	326
1170	12739	315
1171	12751	304
1172	12764	293
1173	12776	282
1174	12786	272
1175	12798	261
1176	12810	250
1177	12821	239
1178	12833	228
1179	12843	217
1180	12854	206
1181	12866	195
1182	12876	185
1183	12887	174
1184	12900	163
1185	12912	152
1186	12922	141
1187	12933	130
1188	12944	119
1189	12956	108
1190	12967	97
1191	12976	87
1192	12986	76
1193	12995	65
1194	13005	54
1195	13017	43
1196	13028	32
1197	13039	21
1198	13050	10
1199	13061	0
