iter	Passed	Remaining
776	7978	4343
777	7988	4333
778	7998	4322
779	8008	4312
780	8019	4302
781	8030	4292
782	8041	4282
783	8051	4272
784	8061	4261
785	8071	4251
786	8081	4240
787	8092	4231
788	8102	4220
789	8111	4209
790	8121	4199
791	8131	4188
792	8140	4178
793	8152	4168
794	8163	4158
795	8173	4148
796	8185	4138
797	8196	4129
798	8207	4119
799	8217	4108
800	8228	4098
801	8240	4089
802	8250	4079
803	8261	4068
804	8272	4059
805	8282	4048
806	8291	4038
807	8303	4028
808	8313	4018
809	8325	4008
810	8335	3997
811	8346	3988
812	8355	3977
813	8364	3966
814	8373	3955
815	8383	3945
816	8392	3934
817	8402	3923
818	8411	3913
819	8422	3903
820	8432	3892
821	8442	3882
822	8453	3872
823	8464	3862
824	8475	3852
825	8484	3841
826	8493	3830
827	8503	3820
828	8512	3809
829	8522	3799
830	8532	3788
831	8543	3778
832	8554	3768
833	8564	3758
834	8575	3748
835	8585	3738
836	8594	3727
837	8605	3717
838	8614	3706
839	8624	3696
840	8634	3685
841	8645	3675
842	8655	3665
843	8665	3655
844	8676	3644
845	8686	3634
846	8696	3624
847	8708	3614
848	8718	3604
849	8728	3594
850	8738	3583
851	8749	3573
852	8760	3563
853	8769	3552
854	8778	3542
855	8789	3532
856	8799	3521
857	8809	3511
858	8820	3501
859	8830	3491
860	8840	3480
861	8849	3470
862	8857	3458
863	8867	3448
864	8877	3438
865	8887	3427
866	8898	3417
867	8908	3407
868	8917	3396
869	8926	3386
870	8936	3375
871	8947	3365
872	8958	3355
873	8968	3345
874	8978	3334
875	8991	3325
876	9001	3315
877	9010	3304
878	9020	3294
879	9031	3284
880	9040	3273
881	9050	3262
882	9060	3252
883	9070	3242
884	9081	3232
885	9091	3222
886	9102	3211
887	9112	3201
888	9124	3191
889	9136	3182
890	9146	3172
891	9157	3161
892	9167	3151
893	9176	3141
894	9187	3131
895	9198	3120
896	9207	3110
897	9217	3099
898	9228	3089
899	9238	3079
900	9249	3069
901	9258	3058
902	9268	3048
903	9278	3037
904	9289	3028
905	9300	3018
906	9310	3007
907	9321	2997
908	9333	2987
909	9343	2977
910	9354	2967
911	9365	2957
912	9375	2947
913	9385	2936
914	9397	2926
915	9408	2916
916	9418	2906
917	9429	2896
918	9439	2886
919	9451	2876
920	9460	2865
921	9470	2855
922	9480	2845
923	9490	2834
924	9500	2824
925	9513	2814
926	9523	2804
927	9535	2794
928	9544	2784
929	9554	2774
930	9566	2763
931	9577	2754
932	9589	2744
933	9602	2734
934	9612	2724
935	9622	2714
936	9633	2703
937	9642	2693
938	9652	2683
939	9662	2672
940	9673	2662
941	9685	2652
942	9695	2642
943	9706	2632
944	9716	2621
945	9727	2611
946	9738	2601
947	9747	2591
948	9755	2580
949	9767	2570
950	9777	2560
951	9787	2549
952	9798	2539
953	9807	2528
954	9817	2518
955	9827	2508
956	9838	2498
957	9848	2487
958	9859	2477
959	9870	2467
960	9880	2457
961	9890	2446
962	9901	2436
963	9912	2426
964	9922	2416
965	9933	2406
966	9943	2395
967	9954	2385
968	9964	2375
969	9974	2365
970	9985	2355
971	9996	2344
972	10006	2334
973	10017	2324
974	10026	2313
975	10036	2303
976	10047	2293
977	10057	2283
978	10067	2272
979	10077	2262
980	10088	2252
981	10098	2241
982	10108	2231
983	10119	2221
984	10129	2211
985	10139	2200
986	10149	2190
987	10160	2180
988	10170	2169
989	10180	2159
990	10192	2149
991	10202	2139
992	10212	2128
993	10222	2118
994	10232	2108
995	10243	2098
996	10252	2087
997	10262	2077
998	10271	2066
999	10281	2056
1000	10291	2045
1001	10303	2035
1002	10314	2025
1003	10324	2015
1004	10334	2005
1005	10345	1994
1006	10356	1984
1007	10367	1974
1008	10378	1964
1009	10388	1954
1010	10397	1943
1011	10407	1933
1012	10417	1923
1013	10428	1912
